GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
petOne,app,PetOneApplication,5,3,0,0,2,1,1,1,1,1
petOne,app.service,VeterinarioService,30,24,2,0,7,6,4,3,3,3
petOne,app.service,ProcedimentoService,30,24,2,0,7,6,4,3,3,3
petOne,app.service,PacienteService,30,24,2,0,7,6,4,3,3,3
petOne,app.service,TutorService,30,24,2,0,7,6,4,3,3,3
petOne,app.controller,ProcedimentoController,64,35,0,0,14,7,3,3,3,3
petOne,app.controller,TutorController,64,35,0,0,14,7,3,3,3,3
petOne,app.controller,VeterinarioController,64,35,0,0,14,7,3,3,3,3
petOne,app.controller,PacienteController,64,35,0,0,14,7,3,3,3,3
petOne,app.entity,Veterinario,28,28,0,0,4,4,8,4,8,4
petOne,app.entity,Procedimento,35,31,0,0,5,4,10,4,10,4
petOne,app.entity,Tutor,28,28,0,0,4,4,8,4,8,4
petOne,app.entity,Paciente,42,34,0,0,6,4,12,4,12,4
